To,Body
  --------------------

  1. Sell DivX Pro From Your Web Site
  2. Japanese Crime Noir in DivX Video
  3. Mad Phat Crazy Skins

  
  Sell DivX Pro From Your Web Site
  -------------------------------

  DivX has become the world's most popular video technology and
  garnered millions of loyal fans thanks almost entirely to
  word-of-mouth buzz from users like you. We've always known that
  DivX users are the generous sort--the kind of people who want to
  share great-looking video technology with the rest of the world.
  But what if you could exercise your generous nature by spreading
  the DivX gospel while making money at the same time?
  
  Now you can. The DivX Affiliate Program allows web site owners to
  make money while providing users with the best video technology on
  the Internet. If you have your own web site, all you have to do is
  sign up to become an authorized DivX Pro Affiliate. Once you're
  approved, you simply add a DivX download link to your Web site
  and, voila, you're in business. Every time someone clicks on your
  link to DivX.com and purchases DivX Pro, you'll earn a percentage
  of the sale.

* Read More About the DivX Pro Affiliate Program on DivX.com:
  <http://rd.mailshell.com/www.divx.com/affiliate/>


 %------------------ADVERTISEMENT------------------%
  
  PRE-ORDER THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING
  
  Pre-order The Lord of the Rings DVD. Two hours of extra content
  and a ten-minute behind the scenes look at The Two Towers. Click
  to buy!
  
  <http://rd.mailshell.com/www.qksrv.net/click-1153836-8224557>

  %------------------ADVERTISEMENT------------------%


  Japanese Crime Noir in DivX Video
  ---------------------------------

  A wide variety of innovative studios and film distributors have
  been using DivX video-on-demand technology to sell downloadable
  DivX titles online since August of last year. One of the many
  interesting films currently available is the Japanese crime
  thriller ""Nobody"" from DivX partner Vanguard Cinema. Called ""a
  triumph"" by the New York Times, ""Nobody"" is an action-packed
  thriller-noir that tells a story of an escalating cycle of
  violence and revenge. In the tradition of international crime
  thrillers like ""La Femme Nikita"" and ""Tokyo Fist,"" ""Nobody"" takes
  the viewer through a labyrinth of suspense and carnage without
  release until the very end.

* Watch ""Nobody"" in High-quality DivX Video:
  <http://rd.mailshell.com/www.divx.com/showcase>


  Mad Phat Crazy DivX Player Skins
  ---------------------------------

  The week's dopest DivX Player Skins:
  
* DivX 4 Real: Puts an interesting DivX spin on a familiar player
  design--keeping it real. Submitted by ""DIVX Budman.""
  <http://rd.mailshell.com/www.divx.com/skins/detail.php?id=77>
  
* More DivX: Who doesn't want more DivX? A very colorful, very
  circular design submitted by one of our old favorite skin authors:
  ""JC.""
  <http://rd.mailshell.com/www.divx.com/skins/detail.php?id=76>
  
* Luxury: Live the good life with this high-class, luxurious gold
  skin. Submitted by ""scoj.""
  <http://rd.mailshell.com/www.divx.com/skins/detail.php?id=75>
  
  For all the new skins, check out the DivX Skins section:
  <http://rd.mailshell.com/www.divx.com/skins>. If you'd like to make your own skin,
  read the ""How to Create a Skin"" page:
  <http://rd.mailshell.com/www.divx.com/skins/create.php>.
  

  That's all we have for you this week. Thanks for supporting DivX
  video. Please feel free to send us any comments and suggestions
  at <info@divx.com>.
  
  Until next time,
  
  The DivX Team
  
  P.S. If you have friends that you think would enjoy receiving
  this newsletter, please forward this message on to them.

--
Copyright(c) 2002 DivXNetworks, Inc. All rights reserved.
DivX is a trademark of DivXNetworks, Inc.

<http://rd.mailshell.com/www.divx.com>
<http://rd.mailshell.com/www.divxnetworks.com>

This newsletter is sent weekly to over 1,600,000 opt-in subscribers.
If you are interested in advertising in the DivX News, write us at
<advertising@divxnetworks.com>.

This newsletter is sent from an automated account. Replies to this
message will not be read. Please follow the unsubscribe
instructions below if you do not want to receive this newsletter
in the future.

If you do not wish to receive future newsletters, you can
unsubscribe by visiting <http://rd.mailshell.com/www.divx.com/list/unsubscribe.php>
and entering your email address. Alternately, you can send an
email message to <divx-unsubscribe@lists.divx.com> and be removed
from the list.



---------- Your email is protected by Mailshell ---------- 
As you requested, this email was forwarded to you by Mailshell.
Mailshell will forward your replies to this email and keep your
private email address safe.

To unsubscribe safely and easily using Mailshell or to stop forwarding:
http://www.mailshell.com/control.html?a=b_fa37eeq98z1xl2zjr74cp11v559ad52admz

ReturnPath.net http://rd.mailshell.com/ad481
Earn up to $3 for each of your friends who signs up with Mailshell! http://rd.mailshell.com/sp5
"
ilug@linux.ie,"On Sat, Oct 05, 2002 at 06:06:14PM +0100, Padraig Brady mentioned:
> OK I'm upgrading vorbis on my machine and I'm getting
> the following:
> 
> # rpm -U libvorbis-* vorbis-tools-1.0-1.i386.rpm
> error: failed dependencies:
> 	libvorbisfile.so.0   is needed by SDL_mixer-1.2.0-4
> 	libvorbisfile.so.0   is needed by xmms-1.2.5-7
> 	libvorbisfile.so.0   is needed by tuxracer-0.61-5
> 
> This is because the new libvorbis.rpm only has libvorbisfile.so.3
> So is this a problem in the other packages depending on
> a specific version (libvorbisfile.so.0) rather than on the
> generic libvorbis.so ?

 This is a pain. 

 The only way you can resolve this, to my knowledge is to download the
original libvorbis rpm and the new one. Remove the old one, then do:

 rpm -Uvh libvorbis-*

 RPM then assumes that you want both versions installed at the same time,
and does so. Why you can't do this after you have one library already
installed is beyond me.

Kate

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
Geege Schuman <geege@barrera.org>,"If it's unwritten, how'm I supposed to know unless someone CALLS me up and 
tells me/  hint hint.  LOL  (:  Well, I reckon it's a written rule now, 
since it's on the internet in text format w/ your name attached, but then 
again, when have I ever followed any damned rules???  (:
C

On Sat, 7 Sep 2002, Geege Schuman wrote:

> unwritten rule.  8-)
> 
> gg
> 
> -----Original Message-----
> From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of CDale
> Sent: Friday, September 06, 2002 10:21 PM
> To: Geege Schuman
> Cc: bitbitch@magnesium.net; Adam L. Beberg; fork@spamassassin.taint.org
> Subject: RE: Re[2]: Selling Wedded Bliss (was Re: Ouch...)
> 
> 
> Why should I?  (:
> C
> 
> On Fri, 6 Sep 2002, Geege Schuman wrote:
> 
> > quitcherbraggin.
> >
> > :-)
> > gg
> >
> > -----Original Message-----
> > From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of CDale
> > Sent: Friday, September 06, 2002 3:42 AM
> > To: bitbitch@magnesium.net
> > Cc: Adam L. Beberg; fork@spamassassin.taint.org
> > Subject: Re[2]: Selling Wedded Bliss (was Re: Ouch...)
> >
> >
> > I dunno, BB.  Women who like to be thought of this way should have the
> > right to choose to be treated this way.  Men too...  ahem.  (:  My boy
> > cleans, washes clothes, cooks, fixes stuff, etc, and works the same number
> > of hours I do, sometimes more, if he has to catch up with me.  (:  I
> > close him because he is industrious and creative, and because he
> > unfailingly makes my bed the minute I get out of it.  And boy #2 will be
> > here soon to help boy #1 with other things such as pedicures,  backrubs,
> > and sure, fucking.  LOL! (along with the aforementioned ""chores"") Adam can
> > have his cake and eat it too, if he can only find the right girl who has
> > the same beliefs about gender  roles that he has. Of course, he has NO
> > clue where to look, so we will be constantly laughing at him while he
> > stumbles around in the dark.
> > Cindy
> > P.S. the numbers do not in any way indicate importance or favor -- only
> > the order in which they move into my house.  -smiles at chris-
> > P.S. #2.  I'm moving.   Going to New Orleans.  Can't handle any more cab
> > driving.  The summer sucked here on the MS Gulf Coast, instead of rocking
> > like it normally does.  Wish me luck.  I'm going to look for another
> > computer job.  Le Sigh.  (:
> >
> > On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:
> >
> > > Hello Adam,
> > >
> > > Thursday, September 05, 2002, 11:33:18 PM, you wrote:
> > >
> > >
> > > ALB> So, you're saying that product bundling works? Good point.
> > >
> > > Sometimes I wish I was still in CA.  You deserve a good beating every
> > > so often...  (anyone else want to do the honors?)
> > >
> > > ALB> And how is this any different from ""normal"" marriage exactly? Other
> > then
> > > ALB> that the woman not only gets a man, but one in a country where both
> > she and
> > > ALB> her offspring will have actual opportunities? Oh and the lack of
> > > ALB> ""de-feminized, over-sized, self-centered, mercenary-minded""
> choices?
> > >
> > > Mmkay.  For the nth time Adam, we don't live in the land of
> > > Adam-fantasy.  Women actually are allowed to do things productive,
> > > independent and entirely free of their male counterparts.  They aren't
> > > forced to cook and clean and merely be sexual vessels.   Sometimes,
> > > and this will come as a shock to you, no doubt, men and women even
> > > find -love- (which is the crucial distinction between this system) and
> > > they marry one another for the satisfaction of being together.   I
> > > know, far-fetched and idealistically crazy as it is, but such things
> > > do happen.   I can guarantee you, if my mother was approached by my
> > > father, and 25 years ago, he commented on her cleaning ability as a
> > > motivator for marrying her, we would not be having this conversation
> > > now.
> > >
> > > If guys still have silly antequated ideas about 'women's role' then
> > > their opportunities for finding women _will_ be scarce.   Again, these
> > > situations are great, provided everyone is aware that the relationship
> > > is a contractual one -- he wants a maid, a dog and a prostitute he
> > > doesn't have to pay, and she wants a country that isn't impoverished
> > > and teeming with AIDS.  A contract, versus a true love-interest
> > > marriage.
> > >
> > > Egh.  I really need to stop analyzing your posts to this extent.   I
> > > blame law school and my cat.
> > >
> > > -BB
> > >
> > > ALB> - Adam L. ""Duncan"" Beberg
> > > ALB>   http://www.mithral.com/~beberg/
> > > ALB>   beberg@mithral.com
> > >
> > >
> > >
> > >
> > >
> > >
> >
> > --
> > ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn
> >
> >
> >
> >
> >
> 
> --
> ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn
> 
> 
> 
> 
> 

-- 
""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn


"
rpm-zzzlist@freshrpms.net,"Today an apt-get upgrade holds back php (and submodules, like php-imap). 
  Running an apt-get install php to see what's up, I get:

# apt-get install php
Processing File Dependencies... Done
Reading Package Lists... Done
Building Dependency Tree... Done
The following extra packages will be installed:
   curl-devel imap imap-devel mysql mysql-devel php-imap php-ldap postgresql
   postgresql-devel postgresql-libs pspell-devel ucd-snmp-devel 
ucd-snmp-utils
   unixODBC unixODBC-devel
The following NEW packages will be installed:
   curl-devel imap imap-devel mysql mysql-devel postgresql postgresql-devel
   postgresql-libs pspell-devel ucd-snmp-devel ucd-snmp-utils unixODBC
   unixODBC-devel
The following packages will be upgraded
   php php-imap php-ldap
3 packages upgraded, 13 newly installed, 0 to remove(replace) and 1 not 
upgraded.

Anyone have an idea what the heck RedHat did here, and why we're now 
trying to install a ton of crap I don't want?  (I'm hoping someone else 
has chased this down and could save me time... ;) )

thx,
-te

-- 
Troy Engel, Systems Engineer
Cool as the other side of the pillow


_______________________________________________
RPM-List mailing list <RPM-List@freshrpms.net>
http://lists.freshrpms.net/mailman/listinfo/rpm-list

"
zzz@spamassassin.taint.org,"

(You are receiving this email because you subscribed to it (honest).
For information on how to unsubscribe please read the bottom of this
email).

